ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΑΡΝΑΚΑ,ΓΙΟΓΚΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΖΗΝΩΝ,19.00-19.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΟΣΙΑΣ (ΚΒ) - «ΜΙΧΑΛΑΚΗΣ ΠΑΡΙΔΗΣ»,18.45-20.15,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΟΣΙΑΣ (ΚΒ) - «ΜΙΧΑΛΑΚΗΣ ΠΑΡΙΔΗΣ»,17.00-18.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΟΣΙΑΣ (ΚΒ) - «ΜΙΧΑΛΑΚΗΣ ΠΑΡΙΔΗΣ»,18.45-20.15,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Γ+,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΟΣΙΑΣ (ΚΒ) - «ΜΙΧΑΛΑΚΗΣ ΠΑΡΙΔΗΣ»,18.30-20.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.30-19.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΡΟΚΛΗΝΗΣ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.00-18.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.30-20.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.30-20.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.30-20.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΡΟΚΛΗΝΗΣ,16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.30-19.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',19.00-20.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.30-20.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Α',19.30-21.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Α',18.00-19.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.30-20.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Γ+,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.00-18.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,17.00-18.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.30-20.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Γ+,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',19.30-21.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.00-19.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.00-18.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΘΕΟΔΩΡΟΥ,18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Γ+,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,16.00-17.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,16.00-17.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,17.00-18.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΤΥΜΒΟΥ Β',18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Α',18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,17.00-18.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΚΩΝΣΤΑΝΤΙΝΕΛΕΝΕΙΟΝ ΚΕΝΤΡΟ ΕΝΗΛΙΚΩΝ ΑΘΗΕΝΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΨΕΜΑΤΙΣΜΕΝΟΥ,18.30-20.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΑΒΔΕΛΛΕΡΟΥ,18.00-19.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΚΙΒΙΣΙΛΙΟΥ,17.00-18.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΤΡΟΥΛΛΩΝ,18.00-19.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΛΑΣ,17.00-17.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΞΥΛΟΦΑΓΟΥ,09.00-10.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,18.15-19.00,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,19.00-19.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.00-17.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΘΕΟΔΩΡΟΥ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,15.00-15.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,15.45-16.30,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,18.15-19.00,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,19.00-19.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,19.45-20.30,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,20.30-21.15,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,15.00-15.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ,15.45-16.30,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,17.00-17.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΟΥ,17.00-17.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΟΥ,18.00-18.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΟΥ,19.00-19.45,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΕΡΣΕΦΑΝΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΚΑΛΑΒΑΣΟΥ,16.30-18.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΚΑΛΑΒΑΣΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΔΑΚΤΥΛΟΓΡΑΦΙΑ,Α,ΠΕΡΙΦΕΡΕΙΑΚΟ ΓΥΜΝΑΣΙΟ ΚΙΤΙΟΥ,17.00-18.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΔΑΚΤΥΛΟΓΡΑΦΙΑ,Α,ΠΕΡΙΦΕΡΕΙΑΚΟ ΓΥΜΝΑΣΙΟ ΚΙΤΙΟΥ,18.30-20.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΔΑΚΤΥΛΟΓΡΑΦΙΑ,Α,ΓΥΜΝΑΣΙΟ ΒΕΡΓΙΝΑ,17.00-18.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΔΑΚΤΥΛΟΓΡΑΦΙΑ,Α,ΓΥΜΝΑΣΙΟ ΒΕΡΓΙΝΑ,18.30-20.00,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΔΗΜΟΣΙΕΣ ΣΧΕΣΕΙΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΔΙΑΤΑΞΗ ΛΟΥΛΟΥΔΙΩΝ ΙΚΕΠΑΝΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΔΙΑΤΑΞΗ ΛΟΥΛΟΥΔΙΩΝ ΙΚΕΠΑΝΑ,—,ΚΑΛΛΙΝΙΚΕΙΟΣ ΟΙΚΙΑ ΑΘΗΕΝΟΥ,10.00-11.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΔΙΑΤΡΟΦΟΛΟΓΙΑ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,—,ΚΩΝΣΤΑΝΤΙΝΕΛΕΝΕΙΟΝ ΚΕΝΤΡΟ ΕΝΗΛΙΚΩΝ ΑΘΗΕΝΟΥ,18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΔΙΑΤΡΟΦΟΛΟΓΙΑ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,18.00-19.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,18.30-20.00,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΖΟΥΜΠΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',17.15-18.00,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΖΟΥΜΠΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΛΑΖΑΡΟΥ Α',18.15-19.00,ΤΡΙ/ΠΑΡ
ΛΑΡΝΑΚΑ,ΖΟΥΜΠΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Β΄,17.00-17.45,ΤΡΙ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΖΟΥΜΠΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΟΥ,18.00-18.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΖΟΥΜΠΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΕΟΥ,19.00-19.45,ΔΕΥ/ΠΕΜ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΡΝΟΥ,17.30-19.00,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΡΝΟΥ,19.00-20.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΒΑΔΙΩΝ (ΚΒ),17.00-18.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΒΑΔΙΩΝ (ΚΒ),18.30-20.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Α',19.00-20.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΟΣ,09.00-10.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΟΣ,10.30-12.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΟΣ,10.00-11.30,ΤΕΤΑΡΤΗ
